id,subject,level,unit,video_title,question_type,question,options,correct_answer,hint,good_response,wrong_response,language,difficulty,tags,source_doc,created_at
CHEM_NSI_Matter&Energy_Q01_MCQ,Chemistry,NS I,Unit: Matter & Energy,Matter — Definition and Structure,MCQ,"In an exothermic reaction, the sign of \(\Delta H\) is:","[""Positive"", ""Negative"", ""Zero"", ""Undefined""]",Negative,Hint: Heat is released; \(\Delta H<0\).,Correct! Heat is released; \(\Delta H<0\).,Not quite. Hint: Heat is released; \(\Delta H<0\).,English,easy,"[""thermochemistry"", ""enthalpy""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116375
CHEM_NSI_Matter&Energy_Q01_TF,Chemistry,NS I,Unit: Matter & Energy,Matter — Definition and Structure,TrueFalse,Increasing temperature generally increases reaction rate by raising the fraction of collisions above \(E_a\).,"[""True"", ""False""]",True,Arrhenius: higher \(T\) → more molecules surpass activation energy.,Exactly.,Review: Arrhenius: higher \(T\) → more molecules surpass activation energy.,English,easy,"[""kinetics"", ""collision theory""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116421
CHEM_NSI_Matter&Energy_Q01_SA,Chemistry,NS I,Unit: Matter & Energy,Matter — Definition and Structure,ShortAnswer,"Use \(Q=mc\Delta T\): \(m=100\,\text{g},\ c=4.18\,\text{J g}^{-1}\,^{\circ}\text{C}^{-1},\ \Delta T=8^{\circ}\text{C}\). Compute \(Q\) (in kJ).",[],≈ 3.34 kJ,"Compute \(Q=100\times4.18\times8\,\text{J}\), then divide by \(1000\).",Nice work!,"Compare with expected form. Compute \(Q=100\times4.18\times8\,\text{J}\), then divide by \(1000\).",English,easy,"[""calorimetry""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116436
CHEM_NSI_Matter&Energy_Q04_MCQ,Chemistry,NS I,Unit: Matter & Energy,Different Forms of Energy,MCQ,"In an exothermic reaction, the sign of \(\Delta H\) is:","[""Positive"", ""Negative"", ""Zero"", ""Undefined""]",Negative,Hint: Heat is released; \(\Delta H<0\).,Correct! Heat is released; \(\Delta H<0\).,Not quite. Hint: Heat is released; \(\Delta H<0\).,English,easy,"[""thermochemistry"", ""enthalpy""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116464
CHEM_NSI_Matter&Energy_Q04_TF,Chemistry,NS I,Unit: Matter & Energy,Different Forms of Energy,TrueFalse,Increasing temperature generally increases reaction rate by raising the fraction of collisions above \(E_a\).,"[""True"", ""False""]",True,Arrhenius: higher \(T\) → more molecules surpass activation energy.,Exactly.,Review: Arrhenius: higher \(T\) → more molecules surpass activation energy.,English,easy,"[""kinetics"", ""collision theory""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116486
CHEM_NSI_Matter&Energy_Q04_SA,Chemistry,NS I,Unit: Matter & Energy,Different Forms of Energy,ShortAnswer,"Use \(Q=mc\Delta T\): \(m=100\,\text{g},\ c=4.18\,\text{J g}^{-1}\,^{\circ}\text{C}^{-1},\ \Delta T=8^{\circ}\text{C}\). Compute \(Q\) (in kJ).",[],≈ 3.34 kJ,"Compute \(Q=100\times4.18\times8\,\text{J}\), then divide by \(1000\).",Nice work!,"Compare with expected form. Compute \(Q=100\times4.18\times8\,\text{J}\), then divide by \(1000\).",English,easy,"[""calorimetry""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116506
CHEM_NSI_Matter&Energy_Q07_MCQ,Chemistry,NS I,Unit: Matter & Energy,Matter — Definition and Structure,MCQ,"In an exothermic reaction, the sign of \(\Delta H\) is:","[""Positive"", ""Negative"", ""Zero"", ""Undefined""]",Negative,Hint: Heat is released; \(\Delta H<0\).,Correct! Heat is released; \(\Delta H<0\).,Not quite. Hint: Heat is released; \(\Delta H<0\).,English,easy,"[""thermochemistry"", ""enthalpy""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116537
CHEM_NSI_Matter&Energy_Q07_TF,Chemistry,NS I,Unit: Matter & Energy,Matter — Definition and Structure,TrueFalse,Increasing temperature generally increases reaction rate by raising the fraction of collisions above \(E_a\).,"[""True"", ""False""]",True,Arrhenius: higher \(T\) → more molecules surpass activation energy.,Exactly.,Review: Arrhenius: higher \(T\) → more molecules surpass activation energy.,English,easy,"[""kinetics"", ""collision theory""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116561
CHEM_NSI_Matter&Energy_Q07_SA,Chemistry,NS I,Unit: Matter & Energy,Matter — Definition and Structure,ShortAnswer,"Use \(Q=mc\Delta T\): \(m=100\,\text{g},\ c=4.18\,\text{J g}^{-1}\,^{\circ}\text{C}^{-1},\ \Delta T=8^{\circ}\text{C}\). Compute \(Q\) (in kJ).",[],≈ 3.34 kJ,"Compute \(Q=100\times4.18\times8\,\text{J}\), then divide by \(1000\).",Nice work!,"Compare with expected form. Compute \(Q=100\times4.18\times8\,\text{J}\), then divide by \(1000\).",English,easy,"[""calorimetry""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116578
CHEM_NSI_Matter&Energy_Q10_MCQ,Chemistry,NS I,Unit: Matter & Energy,States of Matter & Changes,MCQ,"In an exothermic reaction, the sign of \(\Delta H\) is:","[""Positive"", ""Negative"", ""Zero"", ""Undefined""]",Negative,Hint: Heat is released; \(\Delta H<0\).,Correct! Heat is released; \(\Delta H<0\).,Not quite. Hint: Heat is released; \(\Delta H<0\).,English,easy,"[""thermochemistry"", ""enthalpy""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116599
CHEM_NSI_Matter&Energy_Q10_TF,Chemistry,NS I,Unit: Matter & Energy,States of Matter & Changes,TrueFalse,Increasing temperature generally increases reaction rate by raising the fraction of collisions above \(E_a\).,"[""True"", ""False""]",True,Arrhenius: higher \(T\) → more molecules surpass activation energy.,Exactly.,Review: Arrhenius: higher \(T\) → more molecules surpass activation energy.,English,easy,"[""kinetics"", ""collision theory""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116622
CHEM_NSI_Matter&Energy_Q10_SA,Chemistry,NS I,Unit: Matter & Energy,States of Matter & Changes,ShortAnswer,"Use \(Q=mc\Delta T\): \(m=100\,\text{g},\ c=4.18\,\text{J g}^{-1}\,^{\circ}\text{C}^{-1},\ \Delta T=8^{\circ}\text{C}\). Compute \(Q\) (in kJ).",[],≈ 3.34 kJ,"Compute \(Q=100\times4.18\times8\,\text{J}\), then divide by \(1000\).",Nice work!,"Compare with expected form. Compute \(Q=100\times4.18\times8\,\text{J}\), then divide by \(1000\).",English,easy,"[""calorimetry""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116642
CHEM_NSI_Matter&Energy_Q13_MCQ,Chemistry,NS I,Unit: Matter & Energy,Different Forms of Energy,MCQ,"In an exothermic reaction, the sign of \(\Delta H\) is:","[""Positive"", ""Negative"", ""Zero"", ""Undefined""]",Negative,Hint: Heat is released; \(\Delta H<0\).,Correct! Heat is released; \(\Delta H<0\).,Not quite. Hint: Heat is released; \(\Delta H<0\).,English,medium,"[""thermochemistry"", ""enthalpy""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116664
CHEM_NSI_Matter&Energy_Q13_TF,Chemistry,NS I,Unit: Matter & Energy,Different Forms of Energy,TrueFalse,Increasing temperature generally increases reaction rate by raising the fraction of collisions above \(E_a\).,"[""True"", ""False""]",True,Arrhenius: higher \(T\) → more molecules surpass activation energy.,Exactly.,Review: Arrhenius: higher \(T\) → more molecules surpass activation energy.,English,medium,"[""kinetics"", ""collision theory""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116677
CHEM_NSI_Matter&Energy_Q13_SA,Chemistry,NS I,Unit: Matter & Energy,Different Forms of Energy,ShortAnswer,"Use \(Q=mc\Delta T\): \(m=100\,\text{g},\ c=4.18\,\text{J g}^{-1}\,^{\circ}\text{C}^{-1},\ \Delta T=8^{\circ}\text{C}\). Compute \(Q\) (in kJ).",[],≈ 3.34 kJ,"Compute \(Q=100\times4.18\times8\,\text{J}\), then divide by \(1000\).",Nice work!,"Compare with expected form. Compute \(Q=100\times4.18\times8\,\text{J}\), then divide by \(1000\).",English,medium,"[""calorimetry""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116694
CHEM_NSI_Matter&Energy_Q16_MCQ,Chemistry,NS I,Unit: Matter & Energy,Different Forms of Energy,MCQ,"In an exothermic reaction, the sign of \(\Delta H\) is:","[""Positive"", ""Negative"", ""Zero"", ""Undefined""]",Negative,Hint: Heat is released; \(\Delta H<0\).,Correct! Heat is released; \(\Delta H<0\).,Not quite. Hint: Heat is released; \(\Delta H<0\).,English,medium,"[""thermochemistry"", ""enthalpy""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116723
CHEM_NSI_Matter&Energy_Q16_TF,Chemistry,NS I,Unit: Matter & Energy,Different Forms of Energy,TrueFalse,Increasing temperature generally increases reaction rate by raising the fraction of collisions above \(E_a\).,"[""True"", ""False""]",True,Arrhenius: higher \(T\) → more molecules surpass activation energy.,Exactly.,Review: Arrhenius: higher \(T\) → more molecules surpass activation energy.,English,medium,"[""kinetics"", ""collision theory""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116750
CHEM_NSI_Matter&Energy_Q16_SA,Chemistry,NS I,Unit: Matter & Energy,Different Forms of Energy,ShortAnswer,"Use \(Q=mc\Delta T\): \(m=100\,\text{g},\ c=4.18\,\text{J g}^{-1}\,^{\circ}\text{C}^{-1},\ \Delta T=8^{\circ}\text{C}\). Compute \(Q\) (in kJ).",[],≈ 3.34 kJ,"Compute \(Q=100\times4.18\times8\,\text{J}\), then divide by \(1000\).",Nice work!,"Compare with expected form. Compute \(Q=100\times4.18\times8\,\text{J}\), then divide by \(1000\).",English,medium,"[""calorimetry""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116763
CHEM_NSI_Matter&Energy_Q19_MCQ,Chemistry,NS I,Unit: Matter & Energy,States of Matter & Changes,MCQ,"In an exothermic reaction, the sign of \(\Delta H\) is:","[""Positive"", ""Negative"", ""Zero"", ""Undefined""]",Negative,Hint: Heat is released; \(\Delta H<0\).,Correct! Heat is released; \(\Delta H<0\).,Not quite. Hint: Heat is released; \(\Delta H<0\).,English,medium,"[""thermochemistry"", ""enthalpy""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116780
CHEM_NSI_Matter&Energy_Q19_TF,Chemistry,NS I,Unit: Matter & Energy,States of Matter & Changes,TrueFalse,Increasing temperature generally increases reaction rate by raising the fraction of collisions above \(E_a\).,"[""True"", ""False""]",True,Arrhenius: higher \(T\) → more molecules surpass activation energy.,Exactly.,Review: Arrhenius: higher \(T\) → more molecules surpass activation energy.,English,medium,"[""kinetics"", ""collision theory""]",Chemistry - NSI.docx,2025-10-21T22:43:38.116792
